resolution_number,resolution_detail
Resolution No. 10 / 2024,Detailed Rules of Transaction Clearing (organised trading) – amendments
Resolution No. 4 / 2024,"""DOM MAKLERSKI BANKU BPS"" SPÓŁKA AKCYJNA W LIKWIDACJI - termination of participation in the clearing system as the INDIVIDUAL CLEARING MEMBER"
Resolution No. 32 / 2023,ALIOR BANK S.A. - termination of participation in the clearing system in the type of participation GENERAL CLEARING MEMBER - representative in the derivatives market
Resolution No. 24 / 2023,Additional days in the year 2024 without clearing of transactions in the Polish currency and in EUR in organised trading
Resolution No. 20 / 2023,OPERA DOM MAKLERSKI SP. Z O.O. W LIKWIDACJI - termination of participation in the clearing system
Resolution No. 17 / 2023,SOCIETE GENERALE S.A. ODDZIAŁ W POLSCE - extending the participation type in the clearing system in the activity carried out by the company with the participation type of: GENERAL CLEARING MEMBER – REPRESENTATIVE IN SECURITIES TRADING for transactions concluded by the company TP ICAP (EUROPE) S.A.
Resolution No. 16 / 2023,FAIR PLACE FINANCE SPÓŁKA AKCYJNA - termination of participation in the clearing system as the INDIVIDUAL CLEARING MEMBER
Resolution No. 10 / 2023,"HAITONG BANK, S.A. SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE - termination of participation in the clearing system as the INDIVIDUAL CLEARING MEMBER"
Resolution No. 8 / 2023,on payments resulting from operations executed by KDPW_CCP S.A. in euro using bank accounts maintained for KDPW_CCP S.A. in TARGET-NBP
Resolution No. 10 / 2024,Detailed Rules of Transaction Clearing (organised trading) – amendments
Resolution No. 4 / 2024,"""DOM MAKLERSKI BANKU BPS"" SPÓŁKA AKCYJNA W LIKWIDACJI - termination of participation in the clearing system as the INDIVIDUAL CLEARING MEMBER"
Resolution No. 32 / 2023,ALIOR BANK S.A. - termination of participation in the clearing system in the type of participation GENERAL CLEARING MEMBER - representative in the derivatives market
Resolution No. 24 / 2023,Additional days in the year 2024 without clearing of transactions in the Polish currency and in EUR in organised trading
Resolution No. 20 / 2023,OPERA DOM MAKLERSKI SP. Z O.O. W LIKWIDACJI - termination of participation in the clearing system
Resolution No. 17 / 2023,SOCIETE GENERALE S.A. ODDZIAŁ W POLSCE - extending the participation type in the clearing system in the activity carried out by the company with the participation type of: GENERAL CLEARING MEMBER – REPRESENTATIVE IN SECURITIES TRADING for transactions concluded by the company TP ICAP (EUROPE) S.A.
Resolution No. 34 / 2020,BANK MILLENNIUM S.A.- granting the status of clearing member with the participation status type: Individual Clearing Member
Resolution No. 43 / 2020,BANK HANDLOWY W WARSZAWIE S.A. - extending the participation type in the clearing system as the GENERAL CLEARING MEMBER - REPRESENTATIVE in securities trading of LIQUIDNET EU LIMITED based in Dublin
Resolution No. 16 / 2023,FAIR PLACE FINANCE SPÓŁKA AKCYJNA - termination of participation in the clearing system as the INDIVIDUAL CLEARING MEMBER
Resolution No. 33 / 2020,Concerning the execution of payments arising from operations performed by KDPW_CCP S.A. in EUR using the bank accounts managed for KDPW_CCP S.A. in TARGET2-NBP
Resolution No. 42 / 2020,BNP PARIBAS BANK POLSKA S.A. - termination of participation in the clearing system as the GENERAL CLEARING MEMBER - REPRESENTATIVE of Q SECURITIES S.A.
Resolution No. 10 / 2023,"HAITONG BANK, S.A. SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE - termination of participation in the clearing system as the INDIVIDUAL CLEARING MEMBER"
Resolution No. 33 / 2020,Concerning the execution of payments arising from operations performed by KDPW_CCP S.A. in EUR using the bank accounts managed for KDPW_CCP S.A. in TARGET2-NBP
Resolution No. 41 / 2020,BNP PARIBAS SECURITIES SERVICES S.K.A. ODDZIAŁ W POLSCE - extending the participation type in the clearing system as the GENERAL CLEARING MEMBER - REPRESENTATIVE in securities trading of INTERACTIVE BROKERS LUXEMBOURG SARL
Resolution No. 34 / 2021,Days in the year 2022 without clearing of transactions in the Polish currency and in EUR in organised trading
Resolution No. 26 / 2022,BANK HANDLOWY W WARSZAWIE SPÓŁKA AKCYJNA - extending the participation type in the clearing system as the INDIVIDUAL CLEARING MEMBER
Resolution No. 8 / 2023,on payments resulting from operations executed by KDPW_CCP S.A. in euro using bank accounts maintained for KDPW_CCP S.A. in TARGET-NBP
Resolution No. 32 / 2020,Concerning the execution of payments arising from operations performed by KDPW_CCP S.A. in the Polish currency using the bank account managed for KDPW_CCP S.A. by the National Bank of Poland
Resolution No. 40 / 2020,BNP PARIBAS SECURITIES SERVICES S.K.A. ODDZIAŁ W POLSCE - extending the participation type in the clearing system as the GENERAL CLEARING MEMBER - REPRESENTATIVE in securities trading of BNP PARIBAS SA based in Paris
Resolution No. 25 / 2021,BANK POCZTOWY S.A.- granting the status of clearing member with the participation status type: INDIVIDUAL CLEARING MEMBER
Resolution No. 15 / 2022,The scope of data necessary to assess clearing members’ compliance with the financial conditions in the clearing system (organised trading)
Resolution No. 4 / 2023,Revocation of the resolution on the determination of the position concentration limit
Resolution No. 31 / 2018,ING BANK ŚLĄSKI S.A. - termination of participation in the clearing system as the GENERAL CLEARING MEMBER - REPRESENTATIVE in securities trading of SIB (CYPRUS) LIMITED
Resolution No. 6 / 2019,BANK POLSKA KASA OPIEKI S.A. – extending the participation type in the clearing system: GENERAL CLEARING MEMBER - REPRESENTATIVE of the company UBS EUROPE SE with its registered office in Frankfurt am Main
Resolution No. 34 / 2019,BNP PARIBAS BANK POLSKA S.A. - termination of participation in the clearing system as the GENERAL CLEARING MEMBER - REPRESENTATIVE in securities trading of RAIFFEISEN CENTROBANK AG
